hex,98-134,97-127,96-121,90-115,85-110,82-104,73-99,7-16,65-91,64-87,62-83,59-78,56-72,50-66,48-62,4-11,39-58,353-523,350-519,35-52,349-514,344-509,343-504,342-498,341-494,336-488,333-483,331-478,33-47,328-473,327-465,325-458,324-453,323-448,320-442,314-437,312-432,310-426,309-420,30-41,3-5,299-415,297-411,295-406,294-402,290-398,288-393,287-386,285-381,284-377,282-373,278-368,274-363,269-358,265-354,263-350,260-345,253-340,252-335,248-332,237-328,236-322,235-316,230-311,225-306,224-303,222-299,22-35,219-293,218-287,217-283,215-279,21-31,204-274,199-267,194-262,187-257,177-252,176-247,170-243,169-237,168-233,166-229,159-224,153-218,149-212,137-207,136-200,134-195,133-189,127-184,126-177,122-167,12-27,111-161,11-21,109-156,106-151,102-146,101-140,random,total
ID129,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,160
ID13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID131,11,0,0,10,4,0,3,0,0,0,0,1,0,0,0,13,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,1,2,0,0,2,0,1,0,1,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,228
ID132,8,0,0,10,4,0,3,0,0,0,0,0,0,0,0,4,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,143
ID133,8,10,0,56,170,0,17,0,0,0,1,1,0,1,0,25,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,12,0,0,2,1,0,3,7,0,0,1,0,1,0,20,0,0,1,1,2,10,0,10,2,35,0,2,0,0,0,0,1,0,2,0,0,0,0,3,1321
ID134,162,24,8,1177,1970,0,171,3,10,4,5,121,20,4,13,404,53,0,21,120,2,20,7,0,7,8,0,2,1,12,12,4,41,2,8,27,0,2,0,7,2,4,2,51,27,5,67,2,0,4,0,6,31,0,64,1,1,0,1,0,16,4,42,7,2,93,68,0,67,313,21,61,8,3,21,4,267,0,1,6,25,450,318,6,106,30,246,9,10,7,0,7,44,7,1,44,0,14,24,15,70,21003
ID135,70,7,1,360,650,0,64,1,2,1,2,56,11,11,1,182,14,0,2,54,2,12,8,0,8,11,0,0,0,27,13,3,5,1,13,12,0,1,0,2,1,4,2,10,9,0,18,0,4,0,0,0,9,0,15,5,1,0,0,0,19,0,17,3,2,46,14,0,29,158,8,17,6,5,17,0,59,0,1,4,13,124,59,3,49,17,94,3,6,12,0,1,34,2,1,22,1,10,1,5,30,7647
ID136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
